                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
        284        12709           88         324          298.50
        285         6781           95         324          276.51
        286         8653           90         324          291.87
        287         8754           91         324          288.66
        288        11351           88         324          298.50
        289         9769           95         324          276.51
        290        14320           87         324          301.93
        291        12552           90         324          291.87
        292        11045           91         324          288.66
        293         1394           87         324          301.93
        294          836           92         324          285.52
        295         1183           91         324          288.66
        296          296           92         324          285.52
        297        13877           91         324          288.66
        298         1106           90         324          291.87
        299        13046           93         324          282.45
        300          959           90         324          291.87
        301          301           95         323          276.51
        302         1053           88         324          298.50
        303         5689           96         324          273.62
        304        12368           95         324          276.51
        305         1102           94         319          279.45
        306        11199           89         324          295.15
        307          307           97         323          270.80
        308         9433           92         324          285.52
        309         1356           88         324          298.50
        310        10912           94         324          279.45
        311         1212           91         324          288.66
        312        12447           88         324          298.50
        313         1262           92         324          285.52
        314        14086           88         324          298.50
        315          986           91         324          288.66
        316        14373           91         324          288.66
        317         1193           88         324          298.50
        318          318           96         320          273.62
        319         6391           92         324          285.52
        320          744           87         324          301.93
        321        10418           88         324          298.50
        322          322           92         321          285.52
        323         9892           88         324          298.50
        324        11951           90         324          291.87
        325         7795           95         324          276.51
        326        13021           94         324          279.45
        327         9459           87         324          301.93
        328         1358           88         324          298.50
        329        10447           89         324          295.15
        330        11539           90         324          291.87
        331          750           97         324          270.80
        332        14061           92         324          285.52
        333        10603           95         324          276.51
        334          334           93         322          282.45
        335        13515           95         324          276.51
        336         4674           88         324          298.50
        337         1019           90         324          291.87
        338         7117           88         324          298.50
        339          339           95         320          276.51
        340          887           93         324          282.45
        341         7943           91         324          288.66
        342         5611           94         324          279.45
        343        12579           95         324          276.51
        344          344           93         324          282.45
